Matrix,n,Experiment,Type,Variant,Decade,Count,ZeroCount,Total
rajat11,135,FactorAccumulatorIR,"posit<32,2>",Quire,-4,98,1106,1330
rajat11,135,FactorAccumulatorIR,"posit<32,2>",Quire,-3,90,1106,1330
rajat11,135,FactorAccumulatorIR,"posit<32,2>",Quire,-2,420,1106,1330
rajat11,135,FactorAccumulatorIR,"posit<32,2>",Quire,-1,223,1106,1330
rajat11,135,FactorAccumulatorIR,"posit<32,2>",Quire,0,21,1106,1330
rajat11,135,FactorAccumulatorIR,"posit<32,2>",Quire,1,4,1106,1330
rajat11,135,WorkingPrecisionResidualIR,"posit<32,2>",Plain,-7,66,1547,3325
rajat11,135,WorkingPrecisionResidualIR,"posit<32,2>",Plain,-6,286,1547,3325
rajat11,135,WorkingPrecisionResidualIR,"posit<32,2>",Plain,-5,833,1547,3325
rajat11,135,WorkingPrecisionResidualIR,"posit<32,2>",Plain,-4,245,1547,3325
rajat11,135,WorkingPrecisionResidualIR,"posit<32,2>",Plain,-3,225,1547,3325
rajat11,135,WorkingPrecisionResidualIR,"posit<32,2>",Plain,-2,1050,1547,3325
rajat11,135,WorkingPrecisionResidualIR,"posit<32,2>",Plain,-1,557,1547,3325
rajat11,135,WorkingPrecisionResidualIR,"posit<32,2>",Plain,0,53,1547,3325
rajat11,135,WorkingPrecisionResidualIR,"posit<32,2>",Plain,1,10,1547,3325
rajat11,135,WorkingPrecisionResidualIR,"posit<32,2>",Quire,-7,80,1547,3325
rajat11,135,WorkingPrecisionResidualIR,"posit<32,2>",Quire,-6,278,1547,3325
rajat11,135,WorkingPrecisionResidualIR,"posit<32,2>",Quire,-5,827,1547,3325
rajat11,135,WorkingPrecisionResidualIR,"posit<32,2>",Quire,-4,245,1547,3325
rajat11,135,WorkingPrecisionResidualIR,"posit<32,2>",Quire,-3,225,1547,3325
rajat11,135,WorkingPrecisionResidualIR,"posit<32,2>",Quire,-2,1050,1547,3325
rajat11,135,WorkingPrecisionResidualIR,"posit<32,2>",Quire,-1,560,1547,3325
rajat11,135,WorkingPrecisionResidualIR,"posit<32,2>",Quire,0,50,1547,3325
rajat11,135,WorkingPrecisionResidualIR,"posit<32,2>",Quire,1,10,1547,3325
rajat11,135,WorkingPrecisionResidualIR,"posit<64,3>",Plain,-7,4,959,665
rajat11,135,WorkingPrecisionResidualIR,"posit<64,3>",Plain,-6,63,959,665
rajat11,135,WorkingPrecisionResidualIR,"posit<64,3>",Plain,-5,170,959,665
rajat11,135,WorkingPrecisionResidualIR,"posit<64,3>",Plain,-4,49,959,665
rajat11,135,WorkingPrecisionResidualIR,"posit<64,3>",Plain,-3,45,959,665
rajat11,135,WorkingPrecisionResidualIR,"posit<64,3>",Plain,-2,210,959,665
rajat11,135,WorkingPrecisionResidualIR,"posit<64,3>",Plain,-1,110,959,665
rajat11,135,WorkingPrecisionResidualIR,"posit<64,3>",Plain,0,12,959,665
rajat11,135,WorkingPrecisionResidualIR,"posit<64,3>",Plain,1,2,959,665
rajat11,135,WorkingPrecisionResidualIR,"posit<64,3>",Quire,-7,4,959,665
rajat11,135,WorkingPrecisionResidualIR,"posit<64,3>",Quire,-6,63,959,665
rajat11,135,WorkingPrecisionResidualIR,"posit<64,3>",Quire,-5,170,959,665
rajat11,135,WorkingPrecisionResidualIR,"posit<64,3>",Quire,-4,49,959,665
rajat11,135,WorkingPrecisionResidualIR,"posit<64,3>",Quire,-3,45,959,665
rajat11,135,WorkingPrecisionResidualIR,"posit<64,3>",Quire,-2,210,959,665
rajat11,135,WorkingPrecisionResidualIR,"posit<64,3>",Quire,-1,110,959,665
rajat11,135,WorkingPrecisionResidualIR,"posit<64,3>",Quire,0,12,959,665
rajat11,135,WorkingPrecisionResidualIR,"posit<64,3>",Quire,1,2,959,665
rajat12,1879,FactorAccumulatorIR,"posit<16,2>",Plain,-7,644,14330,166634
rajat12,1879,FactorAccumulatorIR,"posit<16,2>",Plain,-6,1251,14330,166634
rajat12,1879,FactorAccumulatorIR,"posit<16,2>",Plain,-5,5570,14330,166634
rajat12,1879,FactorAccumulatorIR,"posit<16,2>",Plain,-4,7250,14330,166634
rajat12,1879,FactorAccumulatorIR,"posit<16,2>",Plain,-3,41474,14330,166634
rajat12,1879,FactorAccumulatorIR,"posit<16,2>",Plain,-2,35628,14330,166634
rajat12,1879,FactorAccumulatorIR,"posit<16,2>",Plain,-1,38363,14330,166634
rajat12,1879,FactorAccumulatorIR,"posit<16,2>",Plain,0,36103,14330,166634
rajat12,1879,FactorAccumulatorIR,"posit<16,2>",Plain,1,286,14330,166634
rajat12,1879,FactorAccumulatorIR,"posit<16,2>",Plain,2,65,14330,166634
rajat12,1879,FactorAccumulatorIR,"posit<16,2>",Quire,-7,364,13790,102544
rajat12,1879,FactorAccumulatorIR,"posit<16,2>",Quire,-6,806,13790,102544
rajat12,1879,FactorAccumulatorIR,"posit<16,2>",Quire,-5,3410,13790,102544
rajat12,1879,FactorAccumulatorIR,"posit<16,2>",Quire,-4,4475,13790,102544
rajat12,1879,FactorAccumulatorIR,"posit<16,2>",Quire,-3,25515,13790,102544
rajat12,1879,FactorAccumulatorIR,"posit<16,2>",Quire,-2,21934,13790,102544
rajat12,1879,FactorAccumulatorIR,"posit<16,2>",Quire,-1,23604,13790,102544
rajat12,1879,FactorAccumulatorIR,"posit<16,2>",Quire,0,22220,13790,102544
rajat12,1879,FactorAccumulatorIR,"posit<16,2>",Quire,1,176,13790,102544
rajat12,1879,FactorAccumulatorIR,"posit<16,2>",Quire,2,40,13790,102544
rajat12,1879,FactorAccumulatorIR,"posit<32,2>",Plain,-7,111,13250,38454
rajat12,1879,FactorAccumulatorIR,"posit<32,2>",Plain,-6,317,13250,38454
rajat12,1879,FactorAccumulatorIR,"posit<32,2>",Plain,-5,1267,13250,38454
rajat12,1879,FactorAccumulatorIR,"posit<32,2>",Plain,-4,1701,13250,38454
rajat12,1879,FactorAccumulatorIR,"posit<32,2>",Plain,-3,9570,13250,38454
rajat12,1879,FactorAccumulatorIR,"posit<32,2>",Plain,-2,8223,13250,38454
rajat12,1879,FactorAccumulatorIR,"posit<32,2>",Plain,-1,8848,13250,38454
rajat12,1879,FactorAccumulatorIR,"posit<32,2>",Plain,0,8336,13250,38454
rajat12,1879,FactorAccumulatorIR,"posit<32,2>",Plain,1,66,13250,38454
rajat12,1879,FactorAccumulatorIR,"posit<32,2>",Plain,2,15,13250,38454
rajat12,1879,FactorAccumulatorIR,"posit<32,2>",Quire,-7,53,13142,25636
rajat12,1879,FactorAccumulatorIR,"posit<32,2>",Quire,-6,235,13142,25636
rajat12,1879,FactorAccumulatorIR,"posit<32,2>",Quire,-5,857,13142,25636
rajat12,1879,FactorAccumulatorIR,"posit<32,2>",Quire,-4,1119,13142,25636
rajat12,1879,FactorAccumulatorIR,"posit<32,2>",Quire,-3,6380,13142,25636
rajat12,1879,FactorAccumulatorIR,"posit<32,2>",Quire,-2,5482,13142,25636
rajat12,1879,FactorAccumulatorIR,"posit<32,2>",Quire,-1,5901,13142,25636
rajat12,1879,FactorAccumulatorIR,"posit<32,2>",Quire,0,5555,13142,25636
rajat12,1879,FactorAccumulatorIR,"posit<32,2>",Quire,1,44,13142,25636
rajat12,1879,FactorAccumulatorIR,"posit<32,2>",Quire,2,10,13142,25636
rajat12,1879,WorkingPrecisionResidualIR,"posit<32,2>",Plain,-7,373,13682,89726
rajat12,1879,WorkingPrecisionResidualIR,"posit<32,2>",Plain,-6,704,13682,89726
rajat12,1879,WorkingPrecisionResidualIR,"posit<32,2>",Plain,-5,2893,13682,89726
rajat12,1879,WorkingPrecisionResidualIR,"posit<32,2>",Plain,-4,3954,13682,89726
rajat12,1879,WorkingPrecisionResidualIR,"posit<32,2>",Plain,-3,22330,13682,89726
rajat12,1879,WorkingPrecisionResidualIR,"posit<32,2>",Plain,-2,19187,13682,89726
rajat12,1879,WorkingPrecisionResidualIR,"posit<32,2>",Plain,-1,20644,13682,89726
rajat12,1879,WorkingPrecisionResidualIR,"posit<32,2>",Plain,0,19452,13682,89726
rajat12,1879,WorkingPrecisionResidualIR,"posit<32,2>",Plain,1,154,13682,89726
rajat12,1879,WorkingPrecisionResidualIR,"posit<32,2>",Plain,2,35,13682,89726
rajat12,1879,WorkingPrecisionResidualIR,"posit<32,2>",Quire,-7,370,13466,64090
rajat12,1879,WorkingPrecisionResidualIR,"posit<32,2>",Quire,-6,407,13466,64090
rajat12,1879,WorkingPrecisionResidualIR,"posit<32,2>",Quire,-5,2108,13466,64090
rajat12,1879,WorkingPrecisionResidualIR,"posit<32,2>",Quire,-4,2775,13466,64090
rajat12,1879,WorkingPrecisionResidualIR,"posit<32,2>",Quire,-3,15950,13466,64090
rajat12,1879,WorkingPrecisionResidualIR,"posit<32,2>",Quire,-2,13705,13466,64090
rajat12,1879,WorkingPrecisionResidualIR,"posit<32,2>",Quire,-1,14746,13466,64090
rajat12,1879,WorkingPrecisionResidualIR,"posit<32,2>",Quire,0,13894,13466,64090
rajat12,1879,WorkingPrecisionResidualIR,"posit<32,2>",Quire,1,110,13466,64090
rajat12,1879,WorkingPrecisionResidualIR,"posit<32,2>",Quire,2,25,13466,64090
rajat12,1879,WorkingPrecisionResidualIR,"posit<64,3>",Plain,-7,32,13034,12818
rajat12,1879,WorkingPrecisionResidualIR,"posit<64,3>",Plain,-6,108,13034,12818
rajat12,1879,WorkingPrecisionResidualIR,"posit<64,3>",Plain,-5,440,13034,12818
rajat12,1879,WorkingPrecisionResidualIR,"posit<64,3>",Plain,-4,552,13034,12818
rajat12,1879,WorkingPrecisionResidualIR,"posit<64,3>",Plain,-3,3190,13034,12818
rajat12,1879,WorkingPrecisionResidualIR,"posit<64,3>",Plain,-2,2741,13034,12818
rajat12,1879,WorkingPrecisionResidualIR,"posit<64,3>",Plain,-1,2950,13034,12818
rajat12,1879,WorkingPrecisionResidualIR,"posit<64,3>",Plain,0,2778,13034,12818
rajat12,1879,WorkingPrecisionResidualIR,"posit<64,3>",Plain,1,22,13034,12818
rajat12,1879,WorkingPrecisionResidualIR,"posit<64,3>",Plain,2,5,13034,12818
rajat12,1879,WorkingPrecisionResidualIR,"posit<64,3>",Quire,-7,32,13034,12818
rajat12,1879,WorkingPrecisionResidualIR,"posit<64,3>",Quire,-6,108,13034,12818
rajat12,1879,WorkingPrecisionResidualIR,"posit<64,3>",Quire,-5,440,13034,12818
rajat12,1879,WorkingPrecisionResidualIR,"posit<64,3>",Quire,-4,552,13034,12818
rajat12,1879,WorkingPrecisionResidualIR,"posit<64,3>",Quire,-3,3190,13034,12818
rajat12,1879,WorkingPrecisionResidualIR,"posit<64,3>",Quire,-2,2741,13034,12818
rajat12,1879,WorkingPrecisionResidualIR,"posit<64,3>",Quire,-1,2950,13034,12818
rajat12,1879,WorkingPrecisionResidualIR,"posit<64,3>",Quire,0,2778,13034,12818
rajat12,1879,WorkingPrecisionResidualIR,"posit<64,3>",Quire,1,22,13034,12818
rajat12,1879,WorkingPrecisionResidualIR,"posit<64,3>",Quire,2,5,13034,12818
rajat05,301,FactorAccumulatorIR,"posit<16,2>",Plain,-7,68,4734,31250
rajat05,301,FactorAccumulatorIR,"posit<16,2>",Plain,-6,3087,4734,31250
rajat05,301,FactorAccumulatorIR,"posit<16,2>",Plain,-5,2752,4734,31250
rajat05,301,FactorAccumulatorIR,"posit<16,2>",Plain,-4,2863,4734,31250
rajat05,301,FactorAccumulatorIR,"posit<16,2>",Plain,-3,7027,4734,31250
rajat05,301,FactorAccumulatorIR,"posit<16,2>",Plain,-2,4539,4734,31250
rajat05,301,FactorAccumulatorIR,"posit<16,2>",Plain,-1,5462,4734,31250
rajat05,301,FactorAccumulatorIR,"posit<16,2>",Plain,0,5452,4734,31250
rajat05,301,FactorAccumulatorIR,"posit<16,2>",Quire,-7,90,5270,36250
rajat05,301,FactorAccumulatorIR,"posit<16,2>",Quire,-6,3593,5270,36250
rajat05,301,FactorAccumulatorIR,"posit<16,2>",Quire,-5,3250,5270,36250
rajat05,301,FactorAccumulatorIR,"posit<16,2>",Quire,-4,3272,5270,36250
rajat05,301,FactorAccumulatorIR,"posit<16,2>",Quire,-3,8223,5270,36250
rajat05,301,FactorAccumulatorIR,"posit<16,2>",Quire,-2,5301,5270,36250
rajat05,301,FactorAccumulatorIR,"posit<16,2>",Quire,-1,6701,5270,36250
rajat05,301,FactorAccumulatorIR,"posit<16,2>",Quire,0,5820,5270,36250
rajat05,301,FactorAccumulatorIR,"posit<32,2>",Plain,-7,9,1786,3750
rajat05,301,FactorAccumulatorIR,"posit<32,2>",Plain,-6,367,1786,3750
rajat05,301,FactorAccumulatorIR,"posit<32,2>",Plain,-5,331,1786,3750
rajat05,301,FactorAccumulatorIR,"posit<32,2>",Plain,-4,345,1786,3750
rajat05,301,FactorAccumulatorIR,"posit<32,2>",Plain,-3,848,1786,3750
rajat05,301,FactorAccumulatorIR,"posit<32,2>",Plain,-2,550,1786,3750
rajat05,301,FactorAccumulatorIR,"posit<32,2>",Plain,-1,574,1786,3750
rajat05,301,FactorAccumulatorIR,"posit<32,2>",Plain,0,726,1786,3750
rajat05,301,FactorAccumulatorIR,"posit<32,2>",Quire,-7,12,1786,3750
rajat05,301,FactorAccumulatorIR,"posit<32,2>",Quire,-6,369,1786,3750
rajat05,301,FactorAccumulatorIR,"posit<32,2>",Quire,-5,330,1786,3750
rajat05,301,FactorAccumulatorIR,"posit<32,2>",Quire,-4,343,1786,3750
rajat05,301,FactorAccumulatorIR,"posit<32,2>",Quire,-3,845,1786,3750
rajat05,301,FactorAccumulatorIR,"posit<32,2>",Quire,-2,563,1786,3750
rajat05,301,FactorAccumulatorIR,"posit<32,2>",Quire,-1,559,1786,3750
rajat05,301,FactorAccumulatorIR,"posit<32,2>",Quire,0,729,1786,3750
rajat05,301,WorkingPrecisionResidualIR,"posit<32,2>",Plain,-7,27,2456,10000
rajat05,301,WorkingPrecisionResidualIR,"posit<32,2>",Plain,-6,979,2456,10000
rajat05,301,WorkingPrecisionResidualIR,"posit<32,2>",Plain,-5,888,2456,10000
rajat05,301,WorkingPrecisionResidualIR,"posit<32,2>",Plain,-4,940,2456,10000
rajat05,301,WorkingPrecisionResidualIR,"posit<32,2>",Plain,-3,2228,2456,10000
rajat05,301,WorkingPrecisionResidualIR,"posit<32,2>",Plain,-2,1531,2456,10000
rajat05,301,WorkingPrecisionResidualIR,"posit<32,2>",Plain,-1,1319,2456,10000
rajat05,301,WorkingPrecisionResidualIR,"posit<32,2>",Plain,0,2088,2456,10000
rajat05,301,WorkingPrecisionResidualIR,"posit<32,2>",Quire,-7,15,2054,6250
rajat05,301,WorkingPrecisionResidualIR,"posit<32,2>",Quire,-6,614,2054,6250
rajat05,301,WorkingPrecisionResidualIR,"posit<32,2>",Quire,-5,554,2054,6250
rajat05,301,WorkingPrecisionResidualIR,"posit<32,2>",Quire,-4,583,2054,6250
rajat05,301,WorkingPrecisionResidualIR,"posit<32,2>",Quire,-3,1398,2054,6250
rajat05,301,WorkingPrecisionResidualIR,"posit<32,2>",Quire,-2,956,2054,6250
rajat05,301,WorkingPrecisionResidualIR,"posit<32,2>",Quire,-1,806,2054,6250
rajat05,301,WorkingPrecisionResidualIR,"posit<32,2>",Quire,0,1324,2054,6250
rajat05,301,WorkingPrecisionResidualIR,"posit<64,3>",Plain,-7,4,1518,1250
rajat05,301,WorkingPrecisionResidualIR,"posit<64,3>",Plain,-6,124,1518,1250
rajat05,301,WorkingPrecisionResidualIR,"posit<64,3>",Plain,-5,108,1518,1250
rajat05,301,WorkingPrecisionResidualIR,"posit<64,3>",Plain,-4,118,1518,1250
rajat05,301,WorkingPrecisionResidualIR,"posit<64,3>",Plain,-3,280,1518,1250
rajat05,301,WorkingPrecisionResidualIR,"posit<64,3>",Plain,-2,188,1518,1250
rajat05,301,WorkingPrecisionResidualIR,"posit<64,3>",Plain,-1,202,1518,1250
rajat05,301,WorkingPrecisionResidualIR,"posit<64,3>",Plain,0,226,1518,1250
rajat05,301,WorkingPrecisionResidualIR,"posit<64,3>",Quire,-7,4,1518,1250
rajat05,301,WorkingPrecisionResidualIR,"posit<64,3>",Quire,-6,124,1518,1250
rajat05,301,WorkingPrecisionResidualIR,"posit<64,3>",Quire,-5,108,1518,1250
rajat05,301,WorkingPrecisionResidualIR,"posit<64,3>",Quire,-4,118,1518,1250
rajat05,301,WorkingPrecisionResidualIR,"posit<64,3>",Quire,-3,280,1518,1250
rajat05,301,WorkingPrecisionResidualIR,"posit<64,3>",Quire,-2,188,1518,1250
rajat05,301,WorkingPrecisionResidualIR,"posit<64,3>",Quire,-1,202,1518,1250
rajat05,301,WorkingPrecisionResidualIR,"posit<64,3>",Quire,0,226,1518,1250
rajat11,135,FactorAccumulatorIR,"posit<16,2>",Plain,-7,133,4046,14630
rajat11,135,FactorAccumulatorIR,"posit<16,2>",Plain,-6,1373,4046,14630
rajat11,135,FactorAccumulatorIR,"posit<16,2>",Plain,-5,3709,4046,14630
rajat11,135,FactorAccumulatorIR,"posit<16,2>",Plain,-4,1076,4046,14630
rajat11,135,FactorAccumulatorIR,"posit<16,2>",Plain,-3,997,4046,14630
rajat11,135,FactorAccumulatorIR,"posit<16,2>",Plain,-2,4614,4046,14630
rajat11,135,FactorAccumulatorIR,"posit<16,2>",Plain,-1,2441,4046,14630
rajat11,135,FactorAccumulatorIR,"posit<16,2>",Plain,0,243,4046,14630
rajat11,135,FactorAccumulatorIR,"posit<16,2>",Plain,1,44,4046,14630
rajat11,135,FactorAccumulatorIR,"posit<16,2>",Quire,-7,269,4340,15960
rajat11,135,FactorAccumulatorIR,"posit<16,2>",Quire,-6,1415,4340,15960
rajat11,135,FactorAccumulatorIR,"posit<16,2>",Quire,-5,4005,4340,15960
rajat11,135,FactorAccumulatorIR,"posit<16,2>",Quire,-4,1179,4340,15960
rajat11,135,FactorAccumulatorIR,"posit<16,2>",Quire,-3,1087,4340,15960
rajat11,135,FactorAccumulatorIR,"posit<16,2>",Quire,-2,5029,4340,15960
rajat11,135,FactorAccumulatorIR,"posit<16,2>",Quire,-1,2688,4340,15960
rajat11,135,FactorAccumulatorIR,"posit<16,2>",Quire,0,240,4340,15960
rajat11,135,FactorAccumulatorIR,"posit<16,2>",Quire,1,48,4340,15960
rajat11,135,FactorAccumulatorIR,"posit<32,2>",Plain,-7,19,1106,1330
rajat11,135,FactorAccumulatorIR,"posit<32,2>",Plain,-6,118,1106,1330
rajat11,135,FactorAccumulatorIR,"posit<32,2>",Plain,-5,337,1106,1330
rajat11,135,FactorAccumulatorIR,"posit<32,2>",Plain,-4,98,1106,1330
rajat11,135,FactorAccumulatorIR,"posit<32,2>",Plain,-3,90,1106,1330
rajat11,135,FactorAccumulatorIR,"posit<32,2>",Plain,-2,420,1106,1330
rajat11,135,FactorAccumulatorIR,"posit<32,2>",Plain,-1,224,1106,1330
rajat11,135,FactorAccumulatorIR,"posit<32,2>",Plain,0,20,1106,1330
rajat11,135,FactorAccumulatorIR,"posit<32,2>",Plain,1,4,1106,1330
rajat11,135,FactorAccumulatorIR,"posit<32,2>",Quire,-7,18,1106,1330
rajat11,135,FactorAccumulatorIR,"posit<32,2>",Quire,-6,119,1106,1330
rajat11,135,FactorAccumulatorIR,"posit<32,2>",Quire,-5,337,1106,1330
rajat11,135,FactorAccumulatorIR,"posit<32,2>",Quire,-4,98,1106,1330
rajat11,135,FactorAccumulatorIR,"posit<32,2>",Quire,-3,90,1106,1330
rajat11,135,FactorAccumulatorIR,"posit<32,2>",Quire,-2,420,1106,1330
rajat11,135,FactorAccumulatorIR,"posit<32,2>",Quire,-1,223,1106,1330
rajat11,135,FactorAccumulatorIR,"posit<32,2>",Quire,0,21,1106,1330
rajat11,135,FactorAccumulatorIR,"posit<32,2>",Quire,1,4,1106,1330
rajat11,135,WorkingPrecisionResidualIR,"posit<32,2>",Plain,-7,66,1547,3325
rajat11,135,WorkingPrecisionResidualIR,"posit<32,2>",Plain,-6,286,1547,3325
rajat11,135,WorkingPrecisionResidualIR,"posit<32,2>",Plain,-5,833,1547,3325
rajat11,135,WorkingPrecisionResidualIR,"posit<32,2>",Plain,-4,245,1547,3325
rajat11,135,WorkingPrecisionResidualIR,"posit<32,2>",Plain,-3,225,1547,3325
rajat11,135,WorkingPrecisionResidualIR,"posit<32,2>",Plain,-2,1050,1547,3325
rajat11,135,WorkingPrecisionResidualIR,"posit<32,2>",Plain,-1,557,1547,3325
rajat11,135,WorkingPrecisionResidualIR,"posit<32,2>",Plain,0,53,1547,3325
rajat11,135,WorkingPrecisionResidualIR,"posit<32,2>",Plain,1,10,1547,3325
rajat11,135,WorkingPrecisionResidualIR,"posit<32,2>",Quire,-7,80,1547,3325
rajat11,135,WorkingPrecisionResidualIR,"posit<32,2>",Quire,-6,278,1547,3325
rajat11,135,WorkingPrecisionResidualIR,"posit<32,2>",Quire,-5,827,1547,3325
rajat11,135,WorkingPrecisionResidualIR,"posit<32,2>",Quire,-4,245,1547,3325
rajat11,135,WorkingPrecisionResidualIR,"posit<32,2>",Quire,-3,225,1547,3325
rajat11,135,WorkingPrecisionResidualIR,"posit<32,2>",Quire,-2,1050,1547,3325
rajat11,135,WorkingPrecisionResidualIR,"posit<32,2>",Quire,-1,560,1547,3325
rajat11,135,WorkingPrecisionResidualIR,"posit<32,2>",Quire,0,50,1547,3325
rajat11,135,WorkingPrecisionResidualIR,"posit<32,2>",Quire,1,10,1547,3325
rajat11,135,WorkingPrecisionResidualIR,"posit<64,3>",Plain,-7,4,959,665
rajat11,135,WorkingPrecisionResidualIR,"posit<64,3>",Plain,-6,63,959,665
rajat11,135,WorkingPrecisionResidualIR,"posit<64,3>",Plain,-5,170,959,665
rajat11,135,WorkingPrecisionResidualIR,"posit<64,3>",Plain,-4,49,959,665
rajat11,135,WorkingPrecisionResidualIR,"posit<64,3>",Plain,-3,45,959,665
rajat11,135,WorkingPrecisionResidualIR,"posit<64,3>",Plain,-2,210,959,665
rajat11,135,WorkingPrecisionResidualIR,"posit<64,3>",Plain,-1,110,959,665
rajat11,135,WorkingPrecisionResidualIR,"posit<64,3>",Plain,0,12,959,665
rajat11,135,WorkingPrecisionResidualIR,"posit<64,3>",Plain,1,2,959,665
rajat11,135,WorkingPrecisionResidualIR,"posit<64,3>",Quire,-7,4,959,665
rajat11,135,WorkingPrecisionResidualIR,"posit<64,3>",Quire,-6,63,959,665
rajat11,135,WorkingPrecisionResidualIR,"posit<64,3>",Quire,-5,170,959,665
rajat11,135,WorkingPrecisionResidualIR,"posit<64,3>",Quire,-4,49,959,665
rajat11,135,WorkingPrecisionResidualIR,"posit<64,3>",Quire,-3,45,959,665
rajat11,135,WorkingPrecisionResidualIR,"posit<64,3>",Quire,-2,210,959,665
rajat11,135,WorkingPrecisionResidualIR,"posit<64,3>",Quire,-1,110,959,665
rajat11,135,WorkingPrecisionResidualIR,"posit<64,3>",Quire,0,12,959,665
rajat11,135,WorkingPrecisionResidualIR,"posit<64,3>",Quire,1,2,959,665
rajat11,135,FactorAccumulatorIR,"posit<16,2>",Plain,-7,133,4046,14630
rajat11,135,FactorAccumulatorIR,"posit<16,2>",Plain,-6,1373,4046,14630
rajat11,135,FactorAccumulatorIR,"posit<16,2>",Plain,-5,3709,4046,14630
rajat11,135,FactorAccumulatorIR,"posit<16,2>",Plain,-4,1076,4046,14630
rajat11,135,FactorAccumulatorIR,"posit<16,2>",Plain,-3,997,4046,14630
rajat11,135,FactorAccumulatorIR,"posit<16,2>",Plain,-2,4614,4046,14630
rajat11,135,FactorAccumulatorIR,"posit<16,2>",Plain,-1,2441,4046,14630
rajat11,135,FactorAccumulatorIR,"posit<16,2>",Plain,0,243,4046,14630
rajat11,135,FactorAccumulatorIR,"posit<16,2>",Plain,1,44,4046,14630
rajat11,135,FactorAccumulatorIR,"posit<16,2>",Quire,-7,269,4340,15960
rajat11,135,FactorAccumulatorIR,"posit<16,2>",Quire,-6,1415,4340,15960
rajat11,135,FactorAccumulatorIR,"posit<16,2>",Quire,-5,4005,4340,15960
rajat11,135,FactorAccumulatorIR,"posit<16,2>",Quire,-4,1179,4340,15960
rajat11,135,FactorAccumulatorIR,"posit<16,2>",Quire,-3,1087,4340,15960
rajat11,135,FactorAccumulatorIR,"posit<16,2>",Quire,-2,5029,4340,15960
rajat11,135,FactorAccumulatorIR,"posit<16,2>",Quire,-1,2688,4340,15960
rajat11,135,FactorAccumulatorIR,"posit<16,2>",Quire,0,240,4340,15960
rajat11,135,FactorAccumulatorIR,"posit<16,2>",Quire,1,48,4340,15960
rajat11,135,FactorAccumulatorIR,"posit<32,2>",Plain,-7,19,1106,1330
rajat11,135,FactorAccumulatorIR,"posit<32,2>",Plain,-6,118,1106,1330
rajat11,135,FactorAccumulatorIR,"posit<32,2>",Plain,-5,337,1106,1330
rajat11,135,FactorAccumulatorIR,"posit<32,2>",Plain,-4,98,1106,1330
rajat11,135,FactorAccumulatorIR,"posit<32,2>",Plain,-3,90,1106,1330
rajat11,135,FactorAccumulatorIR,"posit<32,2>",Plain,-2,420,1106,1330
